"Activity Tag"
"A001"
"A101"
"A105"
"A208"
"A215"
"A313"
"ART"
"ART1"
"B003"
"B004"
"B112"
"B113"
"B206"
"B212"
"B214"
"B304"
"B308"
"B312"
"B316"
"BIO"
"BIO1"
"BIO2"
"BIO3"
"C009"
"C010"
"C017"
"C105"
"C112"
"C117"
"C201"
"C205"
"C206"
"C217"
"C301"
"C305"
"C309"
"C315"
"CCC"
"CED"
"CED1"
"CED2"
"CED3"
"CED4"
"CED6"
"CHD"
"CHD2"
"CHD3"
"CHD4"
"CHY"
"CHY1"
"CHY2"
"CHY3"
"CHY4"
"COM"
"COM1"
"CSD"
"CSD1"
"CSD2"
"CSD3"
"CSD4"
"D004"
"D013"
"D018"
"D105"
"D112"
"D215"
"D313"
"D317"
"DES"
"DES1"
"DOM"
"DOM1"
"DOM4"
"ECO"
"ECO1"
"ECO2"
"ECO3"
"ECO4"
"EED"
"EED1"
"EED2"
"EED3"
"EED4"
"ENG"
"ENG1"
"ENG2"
"ENG3"
"ENG4"
"EWE"
"EWE1"
"FAC"
"FAC1"
"FAC2"
"FAC3"
"FAC4"
"HIS"
"HIS1"
"HIS2"
"HIS3"
"INT"
"INT1"
"INT2"
"LEC1"
"LEC2"
"Lab"
"MAT"
"MAT-ME-SLOT-A"
"MAT-ME-SLOT-B"
"MAT-ME-SLOT-C"
"MAT0"
"MAT1"
"MAT2"
"MAT3"
"MAT4"
"MAT5"
"MED"
"MED2"
"MED3"
"MED4"
"MGT"
"MGT1"
"MKT"
"MKT4"
"OHM"
"OHM4"
"PHY"
"PHY1"
"PHY2"
"PHY3"
"PHY4"
"SOC"
"SOC1"
"SOC2"
"SOC3"
"SOC4"
"STM"
"STM3"
"TUT1"
"TUT10"
"TUT2"
"TUT3"
"TUT4"
"TUT5"
"TUT6"
"TUT7"
"TUT8"
"TUT9"
"tutorial"
