"Activity Tag"
"A001"
"A101"
"A303"
"B003"
"B004"
"B110"
"B112"
"B113"
"B212"
"B214"
"B308"
"B312"
"B316"
"C005"
"C006"
"C009"
"C013"
"C014"
"C017"
"C106"
"C109"
"C111"
"C117"
"C201"
"C205"
"C206"
"C209"
"C217"
"C301"
"C307"
"C308"
"C309"
"CCC"
"D004"
"D013"
"D018"
"D112"
"D215"
"D313"
"D317"
"LEC1"
"LEC2"
"LEC3"
"LargeClass"
"TUT1"
"TUT10"
"TUT11"
"TUT12"
"TUT2"
"TUT3"
"TUT4"
"TUT5"
"TUT6"
"TUT7"
"TUT8"
"TUT9"
